COVID DATA (WORLD WIDE),,,,,,,
Country,Total Cases,Total Deaths,Total Recovered,Critical Cases,Deaths/1M pop,Tests/1M pop,Population
UAE,"10,67,030","2,349","10,54,525","10,156",233,"1,99,10,389","1,00,81,785"
Panama,"10,47,690","8,657","10,38,881",152,"1,947","17,47,365","44,46,964"
Uruguay,"10,38,774","7,634","10,30,944",196,"2,184","17,49,083","34,96,016"
Mongolia,"10,10,954","2,179","10,08,765",10,645,"11,93,000","33,78,078"
Nepal,"10,03,398","12,031","9,91,322",45,398,"2,00,088","3,02,25,582"
Belarus,"9,94,037","7,118","9,85,592","1,327",755,"14,46,722","94,32,800"
Latvia,"9,78,270","6,390","9,71,406",474,"3,456","42,61,962","18,48,837"
Saudi Arabia,"8,41,469","9,646","8,27,923","3,900",269,"12,68,848","3,58,44,909"
Azerbaijan,"8,32,044","10,295","8,21,738",11,999,"7,44,249","1,03,00,205"
Paraguay,"8,13,083","19,983",N/A,N/A,"2,735","3,63,751","73,05,843"
Bahrain,"7,24,958","1,568","7,22,926",464,879,"61,07,431","17,83,983"
Sri Lanka,"6,72,572","16,882","6,55,682",8,782,"3,00,619","2,15,75,842"
Dominican Republic,"6,67,048","4,384","6,44,785","17,879",397,"3,38,350","1,10,56,370"
Kuwait,"6,66,021","2,570","6,60,237","3,214",587,"19,30,391","43,80,326"
Cyprus,"6,60,854","1,364","6,59,490",0,"1,115","78,79,860","12,23,387"
Myanmar,"6,41,134","19,495","6,19,922","1,717",353,"2,00,791","5,52,27,143"
Palestine,"6,21,008","5,404","6,15,445",159,"1,011","5,75,907","53,45,541"
Moldova,"6,20,848","12,126","5,04,142","1,04,580","3,022","8,01,437","40,13,171"
Estonia,"6,19,485","3,001","5,24,990","91,494","2,270","28,22,741","13,21,910"
Venezuela,"5,52,695","5,856","5,46,537",302,200,"1,14,771","2,92,66,991"
Egypt,"5,16,023","24,613","4,42,182","49,228",232,"34,792","10,61,56,692"
Qatar,"5,14,524",690,"5,13,687",147,232,"13,64,257","29,79,915"
Libya,"5,07,266","6,437","5,00,829",0,914,"3,52,782","70,40,745"
Ethiopia,"5,00,991","7,574","4,88,165","5,252",63,"46,053","12,08,12,698"
Réunion,"4,86,588",921,"4,18,572","67,095","1,014","17,66,027","9,08,061"
Honduras,"4,72,619","11,116",N/A,N/A,"1,088","1,62,472","1,02,21,247"
Armenia,"4,49,293","8,751","4,35,162","5,380","2,945","10,91,164","29,71,966"
Bosnia and Herzegovina,"4,03,053","16,352","3,79,084","7,617","5,032","5,80,036","32,49,317"
Oman,"3,99,449","4,628","3,84,669","10,152",869,"46,95,724","53,23,993"
Zambia,"3,49,287","4,069","3,41,316","3,902",209,"2,11,244","1,94,70,234"
North Macedonia,"3,48,374","9,677","3,37,068","1,629","4,649","10,69,626","20,81,304"
Kenya,"3,43,918","5,689","3,37,309",920,101,"70,569","5,62,15,221"
Albania,"3,34,726","3,602","3,29,428","1,696","1,257","6,77,173","28,66,374"
Botswana,"3,30,194","2,801","3,27,049",344,"1,147","8,30,300","24,41,162"
Luxembourg,"3,19,959","1,232","3,16,690","2,037","1,918","71,40,959","6,42,371"
Brunei,"3,10,106",225,"2,43,601","66,280",505,"16,11,437","4,45,431"
Montenegro,"2,92,026","2,828","2,88,700",498,"4,504","44,03,172","6,27,950"
Algeria,"2,71,852","6,881","1,83,061","81,910",152,"5,093","4,53,50,148"
Nigeria,"2,66,675","3,155","2,59,953","3,567",15,"26,339","21,67,46,934"
Zimbabwe,"2,65,693","5,712","2,58,888","1,093",373,"1,64,744","1,53,31,428"
Uzbekistan,"2,53,662","1,637","2,41,486","10,539",48,"40,077","3,43,82,084"
Mozambique,"2,33,417","2,243","2,28,805","2,369",68,"41,437","3,30,89,461"
Martinique,"2,30,354","1,102",N/A,N/A,"2,946","22,15,870","3,74,087"
Afghanistan,"2,24,729","7,941","2,04,707","12,081",195,"31,667","4,07,54,388"
Laos,"2,18,779",758,N/A,N/A,101,"1,64,845","74,81,023"
Iceland,"2,09,191",229,N/A,N/A,663,"57,80,036","3,45,393"
Kyrgyzstan,"2,06,897","2,991","1,96,406","7,500",445,"2,83,460","67,28,271"
Guadeloupe,"2,03,235","1,021",N/A,N/A,"2,554","23,46,306","3,99,794"
El Salvador,"2,01,785","4,230","1,79,410","18,145",646,"3,98,467","65,50,389"
Trinidad and Tobago,"1,91,496","4,390","1,87,078",28,"3,121","6,49,295","14,06,585"
Maldives,"1,86,687",316,"1,63,687","22,684",584,"40,92,223","5,40,985"
Namibia,"1,71,998","4,098","1,67,099",801,"1,556","4,03,460","26,33,874"
Ghana,"1,71,740","1,462","1,70,255",23,45,"78,346","3,23,95,450"
Uganda,"1,71,729","3,632","1,00,431","67,666",75,"62,198","4,84,32,863"
Jamaica,"1,55,860","3,596","1,03,032","49,232","1,205","3,96,633","29,85,094"
Cambodia,"1,38,940","3,056","1,35,884",0,178,"1,80,062","1,71,68,639"
Rwanda,"1,33,194","1,468","1,31,647",79,108,"4,42,778","1,36,00,464"
Cameroon,"1,25,090","1,974","1,22,807",309,71,"62,762","2,79,11,548"
Malta,"1,19,735",855,"1,18,172",708,"1,926","48,35,895","4,44,033"
Barbados,"1,09,503",620,"1,08,647",236,"2,153","27,82,594","2,88,023"
Angola,"1,05,384","1,934","1,03,419",31,55,"42,818","3,50,27,343"
Channel Islands,"1,01,717",228,"1,01,321",168,"1,292","70,99,551","1,76,463"
French Guiana,"98,041",420,"11,254","86,367","1,337","20,72,951","3,14,169"
DRC,"97,697","1,468","84,489","11,740",15,"8,890","9,52,40,792"
Senegal,"89,014","1,971","87,024",19,112,"64,946","1,76,53,671"
Malawi,"88,835","2,686","85,651",498,133,"30,959","2,01,80,839"
Ivory Coast,"88,338",835,"87,497",6,30,"60,951","2,77,42,298"
Suriname,"82,588","1,408",N/A,N/A,"2,359","4,05,822","5,96,831"
New Caledonia,"79,922",314,"79,605",3,"1,079","3,40,182","2,90,915"
French Polynesia,"78,617",649,N/A,N/A,"2,284",,"2,84,164"
Eswatini,"74,882","1,427","73,116",339,"1,204","8,85,119","11,84,817"
Guyana,"73,385","1,299","72,013",73,"1,636","9,23,396","7,94,045"
Belize,"70,782",688,"70,085",9,"1,669","13,97,453","4,12,190"
Fiji,"69,117",885,"67,226","1,006",973,"7,39,866","9,09,466"
Madagascar,"68,289","1,425","66,862",2,49,"18,210","2,91,78,077"
Cabo Verde,"64,230",415,"63,744",71,731,"7,07,482","5,67,678"
Sudan,"63,993","5,046","58,876",71,110,"12,240","4,59,92,020"
Mauritania,"63,715",997,"62,471",247,203,"2,06,030","49,01,981"
Bhutan,"62,691",21,"61,564","1,106",27,"29,23,739","7,87,941"
Syria,"57,727","3,165","54,562",0,163,"7,553","1,93,64,809"
Burundi,"54,234",38,"53,569",627,3,"27,386","1,26,24,840"
Seychelles,"50,937",172,"50,750",15,"1,730",,"99,426"
Gabon,"48,992",307,"48,674",11,132,"6,95,641","23,31,533"
Andorra,"48,015",165,"47,563",287,"2,130","32,25,256","77,463"
Papua New Guinea,"46,864",670,"43,982","2,212",72,"26,813","92,92,169"
Curaçao,"45,986",295,"44,720",971,"1,782","30,00,640","1,65,529"
Aruba,"44,224",292,"42,438","1,494","2,714","16,53,068","1,07,609"
Tanzania,"43,078",846,N/A,N/A,13,,"6,32,98,550"
Mauritius,"42,810","1,051","41,078",681,824,"2,81,374","12,74,727"
Mayotte,"42,027",188,N/A,N/A,657,"6,18,038","2,86,259"
Togo,"39,510",290,"39,216",4,33,"93,641","86,80,837"
Guinea,"38,563",468,"37,757",338,34,"47,607","1,38,65,691"
Bahamas,"38,084",844,"36,366",874,"2,107","6,43,767","4,00,516"
Isle of Man,"38,008",116,N/A,N/A,"1,353","17,58,422","85,732"
Lesotho,"34,790",723,"25,980","8,087",332,"1,98,199","21,75,699"
Faeroe Islands,"34,658",28,N/A,N/A,569,"1,58,02,409","49,233"
Haiti,"34,306",860,"33,372",74,74,"11,337","1,16,80,283"
Mali,"33,151",743,"32,332",76,35,"37,483","2,14,73,764"
Cayman Islands,"31,472",37,"8,553","22,882",550,"33,11,280","67,277"
Saint Lucia,"30,052",409,"29,095",548,"2,209","11,39,752","1,85,113"
Benin,"28,014",163,"27,847",4,13,"47,268","1,27,84,726"
Somalia,"27,334","1,361","13,182","12,791",81,"23,778","1,68,41,795"
Micronesia,"26,472",65,N/A,N/A,553,"7,01,598","1,17,489"
Congo,"25,375",386,"24,006",983,67,"59,991","57,97,805"
Solomon Islands,"24,575",153,N/A,N/A,212,,"7,21,159"
San Marino,"24,382",125,"24,249",8,"3,667","57,75,414","34,085"
Timor-Leste,"23,460",138,"23,102",220,101,"2,03,391","13,69,429"
Burkina Faso,"22,056",396,"21,596",64,18,"11,265","2,21,02,838"
Liechtenstein,"21,473",94,"21,352",27,"2,449","29,29,559","38,387"
Gibraltar,"20,550",113,"16,579","3,858","3,353","1,58,52,213","33,704"
Grenada,"19,693",238,"19,358",97,"2,097","16,12,523","1,13,475"
Bermuda,"18,860",165,"18,685",10,"2,664","1,66,22,128","61,939"
Nicaragua,"18,491",225,"4,225","14,041",33,,"67,79,100"
South Sudan,"18,368",138,"18,115",115,12,"35,313","1,16,18,511"
Tajikistan,"17,786",125,"17,264",397,13,,"99,57,464"
Equatorial Guinea,"17,229",183,"16,907",139,122,"2,44,342","14,96,662"
Monaco,"16,871",67,"15,992",812,"1,684","19,76,875","39,783"
Tonga,"16,819",13,"15,638","1,168",121,"49,65,327","1,07,749"
Samoa,"16,775",31,"1,605","15,139",153,"9,26,612","2,02,239"
Marshall Islands,"16,098",17,"16,079",2,283,,"60,057"
